,Timestamp,ID,Label,Confidence,BBox_Position_X,BBox_Position_Y,BBox_Size_X,BBox_Size_Y,BBox_Size_Z,BBox_Yaw,Velocity_X,Velocity_Y,Tracking_Status
2,1633705176084,351305,2,0.5577780008,17.11317825,-12.02562904,0.1171417236,0.48290634159999996,1.4699339869999999,4.994644642,0.2966278791,-1.022860765,4
3,1633705176084,351304,2,0.49805739520000003,-14.34114647,10.67297077,0.1396923065,0.3586606979,1.6361563209999999,3.617036343,-1.280784965,-0.6593904495,4
6,1633705176187,351305,2,0.5277780294,17.16681862,-12.09095383,0.20351791379999998,0.40807914729999994,1.399188519,5.235987186,0.3761228621,-1.029528975,3
7,1633705176187,351304,2,0.49805739520000003,-14.38743401,10.64992332,0.1396923065,0.3586606979,1.6361563209999999,3.590088367,-1.2980870009999999,-0.6246406436,4
10,1633705176297,351305,2,0.4977780282,17.28946686,-12.164828300000002,0.1604309082,0.43515586850000004,1.4258804319999998,4.712389469,0.4315417707,-1.0275461670000001,3
11,1633705176297,351304,2,0.7077824473000001,-14.76436806,10.32015324,0.6999999881,0.6999999881,1.7219796180000002,3.505850315,-1.53309381,-0.8560674787,3
13,1633705176420,351314,2,0.6210186481000001,-2.5891151430000003,-9.371669769,0.6999999881,0.6999999881,1.596069336,5.308092117,-0.02330023982,-0.7051734328,3
14,1633705176420,351304,2,0.7077824473000001,-15.04977703,10.25917435,0.6999999881,0.6999999881,1.687666893,3.557852268,-1.590853095,-0.7704076170999999,3
15,1633705176420,351305,2,0.6232722402,17.38547134,-12.24100494,0.6999999881,0.6999999881,1.459507942,5.051096439,0.36366418,-1.032307386,4
17,1633705176536,351314,2,0.6210186481000001,-2.652701378,-9.423599243,0.6999999881,0.6999999881,1.573230743,3.762686491,-0.19504070280000002,-0.6631273031,3
18,1633705176536,351304,2,0.7077824473000001,-15.16023731,10.23209381,0.6999999881,0.6999999881,1.507028341,3.573965549,-1.597486019,-0.7231234907999999,3
19,1633705176536,351305,2,0.6232722402,17.39611816,-12.27258015,0.6999999881,0.6999999881,1.459507942,5.023380756,0.3349170387,-1.04198885,4
20,1633705176635,351314,2,0.6210186481000001,-2.677652359,-9.461396217,0.6999999881,0.6999999881,1.60213089,3.561026335,-0.2320393771,-0.6053549646999999,3
22,1633705176635,351304,2,0.7077824473000001,-15.23312759,10.20008278,0.6999999881,0.6999999881,1.507028341,3.5434174539999996,-1.6138600109999999,-0.6858032345999999,4
23,1633705176635,351305,2,0.6232722402,17.40844345,-12.31300449,0.6999999881,0.6999999881,1.459507942,4.993108273,0.303224951,-1.051648736,4
24,1633705176743,351314,2,0.6210186481000001,-2.668814421,-9.615728378,0.6999999881,0.6999999881,1.4750900269999998,5.158678055,-0.2083911449,-0.7147794366,3
25,1633705176743,351304,2,0.7077824473000001,-15.48692608,10.18509102,0.6999999881,0.6999999881,1.628133535,3.524405003,-1.6304677719999998,-0.6570754051,3
27,1633705176743,351305,2,0.6232722402,17.42413521,-12.37052727,0.6999999881,0.6999999881,1.459507942,4.964671612,0.2732010186,-1.059844971,4
28,1633705176872,351314,2,0.6210186481000001,-2.644794226,-9.732842445,0.6999999881,0.6999999881,1.615958691,4.939928055,-0.1617243588,-0.7656387091,3
29,1633705176872,351304,2,0.7077824473000001,-15.65409851,10.16973495,0.6999999881,0.6999999881,1.6058573719999998,3.5336823460000004,-1.520353675,-0.513041079,3
31,1633705176872,351305,2,0.6232722402,17.44493103,-12.45665836,0.6999999881,0.6999999881,1.459507942,4.934360981,0.2409566045,-1.067637563,4
32,1633705176965,351314,2,0.6675931811,-2.653960943,-9.793934822,0.6999999881,0.6999999881,1.59348917,4.876817703,-0.15249709779999998,-0.7555502057,3
33,1633705176965,351304,2,0.7077824473000001,-15.77359676,10.14468002,0.6999999881,0.6999999881,1.7950925830000002,3.563711643,-1.465245724,-0.46509131789999997,3
35,1633705176965,351305,2,0.6232722402,17.46482849,-12.55074692,0.6999999881,0.6999999881,1.459507942,4.907217503,0.21189177039999998,-1.073783994,4
36,1633705177071,351314,2,0.6675931811,-2.677224159,-9.876844406,0.6999999881,0.6999999881,1.50437355,4.887804031,-0.1604331583,-0.7617242336,3
37,1633705177071,351304,2,0.6777824759000001,-15.89747906,10.07657433,0.2461795807,0.5232028961,1.771928549,3.665192127,-1.45532155,-0.41408002380000003,3
39,1633705177071,351305,2,0.6232722402,17.48424721,-12.65724373,0.6999999881,0.6999999881,1.459507942,4.877659321,0.1800638437,-1.079577327,4
40,1633705177174,351314,2,0.6675931811,-2.70523715,-9.925700187999999,0.6999999881,0.6999999881,1.641534805,5.162096023999999,-0.1707144827,-0.7421468495999999,3
41,1633705177174,351304,2,0.6777824759000001,-16.02287674,9.88588047,0.6999999881,0.6999999881,1.812201977,3.459707737,-1.4485845569999998,-0.48850455880000004,3
43,1633705177174,351305,2,0.6232722402,17.49767685,-12.74478531,0.6999999881,0.6999999881,1.459507942,4.8507237430000005,0.15092325210000002,-1.0840352770000001,4
44,1633705177286,351314,2,0.6675931811,-2.7555305960000003,-10.00462055,0.6999999881,0.6999999881,1.635418415,5.210924148999999,-0.1984364837,-0.7423971295,3
45,1633705177286,351304,2,0.6777824759000001,-16.19117737,9.909430504,0.6999999881,0.6999999881,1.736642599,3.4946198460000004,-1.502159715,-0.43109980229999995,3
47,1633705177286,351305,2,0.6232722402,17.50721169,-12.82152557,0.6999999881,0.6999999881,1.459507942,4.819690228,0.11721481380000001,-1.088196158,4
48,1633705177409,351314,2,0.6675931811,-2.662563562,-10.17794323,0.6999999881,0.6999999881,1.6441450119999999,4.843614578,-0.10529214890000001,-0.7653065323999999,3
49,1633705177409,351304,2,0.6777824759000001,-16.41188812,9.905328751,0.6999999881,0.6999999881,1.502242088,3.5229401589999996,-1.4796611069999999,-0.38255709409999994,3
51,1633705177524,351314,2,0.6747295856000001,-2.660024405,-10.21531296,0.6999999881,0.6999999881,1.6234068869999998,4.926866531,-0.09534769505000001,-0.7380392551,3
52,1633705177524,351304,2,0.6477825046,-16.60549164,9.952280045,0.09882068633999999,0.4017362595,1.6900472640000002,3.490658283,-1.578796506,-0.4203730226,3
53,1633705177652,351314,2,0.6747295856000001,-2.678452253,-10.28704262,0.6999999881,0.6999999881,1.626732826,4.6853356360000005,-0.09993439168,-0.7388432622,3
54,1633705177652,351304,2,0.6177825332,-16.66640663,9.729600906,0.1339359283,0.4173984528,1.55191946,3.839724064,-1.5460410119999999,-0.5984255075,3
55,1633705177770,351314,2,0.6747295856000001,-2.6857318880000003,-10.41332531,0.6999999881,0.6999999881,1.5993433000000001,4.865098953,-0.09867471457,-0.7694739698999999,3
56,1633705177770,351304,2,0.6177825332,-16.73463058,9.70343399,0.1339359283,0.4173984528,1.55191946,3.5045504569999997,-1.549811244,-0.5885928273,4
57,1633705177892,351314,2,0.6747295856000001,-2.662140131,-10.53137875,0.6999999881,0.6999999881,1.6447420119999998,4.708242893,-0.07452134043,-0.7496474384999999,3
58,1633705177892,351304,2,0.6177825332,-16.84261322,9.663236617999999,0.1339359283,0.4173984528,1.55191946,3.491755009,-1.5572154519999999,-0.5687150955,4
59,1633705178003,351314,2,0.6747295856000001,-2.679038286,-10.62113094,0.6999999881,0.6999999881,1.6433954240000002,4.730455398999999,-0.07885805517000001,-0.7583540678,3
