,Timestamp,ID,Label,Confidence,BBox_Position_X,BBox_Position_Y,BBox_Size_X,BBox_Size_Y,BBox_Size_Z,BBox_Yaw,Velocity_X,Velocity_Y,Tracking_Status
3,1633708899973,370461,2,0.6863732337999999,-2.143734694,24.09906578,0.6999999881,0.6999999881,1.052161694,2.666494846,-1.356386185,0.9698129892,3
14,1633708900070,370461,2,0.6863732337999999,-2.191560268,24.18892479,0.6999999881,0.6999999881,1.1209077840000001,2.657705784,-1.288855314,0.9811125398,3
24,1633708900184,370461,2,0.6863732337999999,-2.346942425,24.28232384,0.6999999881,0.6999999881,1.2180032729999999,2.642813206,-1.299011588,0.9775176048,3
36,1633708900292,370461,2,0.6563732624,-2.4522359369999998,24.48702621,0.185426712,0.4992427826,1.276295185,2.443460941,-1.291167259,1.084887624,3
47,1633708900403,370461,2,0.6563732624,-2.560897589,24.5605793,0.6999999881,0.6999999881,1.093864918,2.658682346,-1.280418158,1.048032165,3
64,1633708900521,370461,2,0.6563732624,-2.655894279,24.63901138,0.6999999881,0.6999999881,1.093864918,2.446343899,-1.270590782,1.059925079,4
77,1633708900630,370461,2,0.6563732624,-2.703261852,24.67872047,0.6999999881,0.6999999881,1.093864918,2.441479206,-1.265419006,1.06609416,4
87,1633708900739,370461,2,0.6563732624,-2.772691488,24.73749924,0.6999999881,0.6999999881,1.093864918,2.436712742,-1.260323405,1.0721132759999998,4
98,1633708900848,370461,2,0.6563732624,-2.868827343,24.81967735,0.6999999881,0.6999999881,1.093864918,2.431984425,-1.255239725,1.078060865,4
99,1633708900848,370554,3,0.5043945313,12.609375,13.42187595,1.807617188,0.7612304688,1.6479554180000002,5.52830267,0.0,0.0,2
108,1633708900953,370461,2,0.6563732624,-2.9828343389999996,24.91807175,0.6999999881,0.6999999881,1.093864918,2.427316189,-1.250194073,1.0839082,4
109,1633708900953,370554,3,0.5043945313,12.609375,13.42187691,1.807617188,0.7612304688,1.6479554180000002,5.52830267,0.0,0.0,2
120,1633708901054,370461,2,0.6563732624,-3.1011838910000002,25.02118874,0.6999999881,0.6999999881,1.093864918,2.422638416,-1.245110154,1.089744568,4
130,1633708901174,370554,3,0.4743945301,12.75432682,13.45121765,0.09626197815,0.48121166229999995,1.648660183,0.17453289030000002,0.3748573065,0.0691524595,2
132,1633708901174,370461,2,0.6563732624,-3.211353779,25.11809158,0.6999999881,0.6999999881,1.093864918,2.417768955,-1.239788532,1.095794797,4
141,1633708901306,370554,3,0.4743945301,12.76677799,13.45353699,0.09626197815,0.48121166229999995,1.648660183,0.17453289030000002,0.3746212423,0.0704203099,2
143,1633708901306,370461,2,0.6563732624,-3.293617725,25.19113159,0.6999999881,0.6999999881,1.093864918,2.413023472,-1.234574437,1.101666212,4
153,1633708901432,370554,3,0.4743945301,12.79690838,13.45931435,0.09626197815,0.48121166229999995,1.648660183,0.17453289030000002,0.3741292357,0.0729900226,2
174,1633708901664,370558,2,0.5158503652,-22.8125,29.71875,0.6999999881,0.6999999881,1.9038186069999998,0.5776324272,0.0,0.0,2
183,1633708901763,370558,2,0.5158503652,-22.81250191,29.71875,0.6999999881,0.6999999881,1.9038186069999998,0.5776324272,0.0,0.0,2
193,1633708901885,370558,2,0.5158503652,-22.81250381,29.71875,0.6999999881,0.6999999881,1.9038186069999998,0.5776324272,0.0,0.0,2
203,1633708901999,370558,2,0.5158503652,-22.81250572,29.71875,0.6999999881,0.6999999881,1.9038186069999998,0.5776324272,0.0,0.0,2
