Data,,,Translation,Help Functions,,,,,,,,,Code,Formatting
Timestamp,Code,Param,Message,Phase,Ped,OVL,Coord,Detector,SpecFunc,isSeconds,isOp,,1,Phase Begin Green  (Phase )
1633708860,1001,169869402,IPv4 Address = 10.32.0.90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,8,Phase Begin Yellow Cl  (Phase )
1633708860,151,4,Coord Phase Yield Pt  (Phase 4),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,10,Phase Begin Red Cl  (Phase )
1633708860,7,2,Phase Green Term  (Phase 2),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,81,Detector Off  (Veh Det #)
1633708860,8,2,Phase Begin Yellow Cl  (Phase 2),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,82,Detector On  (Veh Det #)
1633708860,23,2,Ped Begin Don’t Walk  (Ped 2),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708860,47,2,Phase Omit Off  (Phase 2),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708860,47,4,Phase Omit Off  (Phase 4),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708860,49,4,Ped Omit Off  (Ped 4),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708860,63,1,Overlap Begin Yellow Cl  (Overlap  (Overlap A),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
1633708863,1000,0,Data Gap Alarm,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
1633708863,81,13,Detector Off  (Veh Det #13),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708863,82,2,Detector On  (Veh Det #2),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
1633708863,82,16,Detector On  (Veh Det #16),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
