Data,,,Translation,,Code,Formatting
Timestamp,Code,Param,Message,,1,Phase Begin Green  (Phase )
1633706223,1001,169869402,Data Gap Alarm,,8,Phase Begin Yellow Cl  (Phase )
1633706223,1000,0,Detector On  (Veh Det #10),,10,Phase Begin Red Cl  (Phase )
1633706223,82,10,Unit Flash Status,,81,Detector Off  (Veh Det #)
1633706223,173,2,Unit Alarm Status 1,,82,Detector On  (Veh Det #)
1633706223,174,128,Alarm Group Status,,,
1633706223,175,0,Special Func Output Off  (Func #1),,,
1633706223,177,1,Special Func Output Off  (Func #2),,,
1633706223,177,2,Special Func Output Off  (Func #3),,,
1633706223,177,3,Special Func Output Off  (Func #4),,,
1633706223,177,4,Special Func Output Off  (Func #5),,,
1633706223,177,5,Special Func Output Off  (Func #6),,,
1633706223,177,6,Special Func Output Off  (Func #7),,,
1633706223,177,7,Special Func Output Off  (Func #8),,,
1633706223,177,8,Coord Pattern  (Pattern #6),,,
1633706223,131,6,Coord Cycle Length = 80s,,,
1633706223,132,80,Coord Offset = 54s,,,
1633706223,133,54,Programmed Split 1 Length = 13s,,,
1633706223,134,13,Programmed Split 2 Length = 32s,,,
1633706223,135,32,Programmed Split 3 Length = 0s,,,
1633706223,136,0,Programmed Split 4 Length = 35s,,,
1633706223,137,35,Programmed Split 5 Length = 0s,,,
1633706223,138,0,Programmed Split 6 Length = 0s,,,
1633706223,139,0,Programmed Split 7 Length = 0s,,,
1633706223,140,0,Programmed Split 8 Length = 0s,,,
1633706223,141,0,Programmed Split 9 Length = 0s,,,
1633706223,142,0,Programmed Split 10 Length = 0s,,,
1633706223,143,0,Programmed Split 11 Length = 0s,,,
1633706223,144,0,Programmed Split 12 Length = 0s,,,
1633706223,145,0,Programmed Split 13 Length = 0s,,,
1633706223,146,0,Programmed Split 14 Length = 0s,,,
1633706223,147,0,Programmed Split 15 Length = 0s,,,
1633706223,148,0,Programmed Split 16 Length = 0s,,,
1633706223,149,0,Phase End Yellow Cl  (Phase 2),,,
1633706223,9,2,Phase Begin Red Cl  (Phase 2),,,
1633706223,10,2,Overlap Begin Red Cl  (Overlap  (Overlap A),,,
1633706223,64,1,Detector On  (Veh Det #9),,,
1633706223,82,9,Detector Off  (Veh Det #10),,,
1633706223,81,10,Phase Inactive  (Phase 2),,,
1633706223,12,2,Phase End Red Cl  (Phase 2),,,
1633706223,11,2,Phase On  (Phase 4),,,
1633706223,0,4,Phase Begin Green  (Phase 4),,,
1633706223,1,4,Overlap Off  (Overlap  (Overlap A),,,
1633706223,65,1,Barrier Term  (Preceding Phase 1),,,
1633706224,31,1,Ped Omit On  (Ped 4),,,
1633706224,48,4,Phase Hold Active  (Phase 2),,,
