Timestamp,Code,Param,Message
1633701603,173,2,Unit Flash Status
1633701603,174,128,Unit Alarm Status 1
1633701603,175,0,Alarm Group Status
1633701603,177,1,Special Func Output Off  (Func #1)
1633701603,177,2,Special Func Output Off  (Func #2)
1633701603,177,3,Special Func Output Off  (Func #3)
1633701603,177,4,Special Func Output Off  (Func #4)
1633701603,177,5,Special Func Output Off  (Func #5)
1633701603,177,6,Special Func Output Off  (Func #6)
1633701603,177,7,Special Func Output Off  (Func #7)
1633701603,177,8,Special Func Output Off  (Func #8)
1633701603,131,6,Coord Pattern  (Pattern #6)
1633701603,132,80,Coord Cycle Length = 80s
1633701603,133,54,Coord Offset = 54s
1633701603,134,13,Programmed Split 1 Length = 13s
1633701603,135,32,Programmed Split 2 Length = 32s
1633701603,136,0,Programmed Split 3 Length = 0s
1633701603,137,35,Programmed Split 4 Length = 35s
1633701603,138,0,Programmed Split 5 Length = 0s
1633701603,139,0,Programmed Split 6 Length = 0s
1633701603,140,0,Programmed Split 7 Length = 0s
1633701603,141,0,Programmed Split 8 Length = 0s
1633701603,142,0,Programmed Split 9 Length = 0s
1633701603,143,0,Programmed Split 10 Length = 0s
1633701603,144,0,Programmed Split 11 Length = 0s
1633701603,145,0,Programmed Split 12 Length = 0s
1633701603,146,0,Programmed Split 13 Length = 0s
1633701603,147,0,Programmed Split 14 Length = 0s
1633701603,148,0,Programmed Split 15 Length = 0s
1633701603,149,0,Programmed Split 16 Length = 0s
1633701603,82,10,Detector On  (Veh Det #10)
1633701603,9,2,Phase End Yellow Cl  (Phase 2)
1633701603,10,2,Phase Begin Red Cl  (Phase 2)
1633701603,64,1,Overlap Begin Red Cl  (Overlap  (Overlap A)
1633701604,81,2,Detector Off  (Veh Det #2)
1633701604,82,2,Detector On  (Veh Det #2)
1633701604,81,1,Detector Off  (Veh Det #1)
1633701604,44,1,Phase Call Dropped  (Phase 1)
1633701604,12,2,Phase Inactive  (Phase 2)
1633701604,11,2,Phase End Red Cl  (Phase 2)
1633701604,0,4,Phase On  (Phase 4)
1633701604,1,4,Phase Begin Green  (Phase 4)
1633701604,65,1,Overlap Off  (Overlap  (Overlap A)
1633701604,31,1,Barrier Term  (Preceding Phase 1)
1633701605,81,10,Detector Off  (Veh Det #10)
1633701605,48,4,Ped Omit On  (Ped 4)
1633701605,41,2,Phase Hold Active  (Phase 2)
1633701610,81,15,Detector Off  (Veh Det #15)
1633701610,3,4,Phase Min Complete  (Phase 4)
1633701615,81,4,Detector Off  (Veh Det #4)
1633701615,44,4,Phase Call Dropped  (Phase 4)
1633701617,7,4,Phase Green Term  (Phase 4)
1633701617,8,4,Phase Begin Yellow Cl  (Phase 4)
1633701617,4,4,Phase Gap Out  (Phase 4)
1633701619,82,12,Detector On  (Veh Det #12)
1633701620,81,12,Detector Off  (Veh Det #12)
1633701621,82,11,Detector On  (Veh Det #11)
1633701621,9,4,Phase End Yellow Cl  (Phase 4)
1633701621,10,4,Phase Begin Red Cl  (Phase 4)
1633701622,81,11,Detector Off  (Veh Det #11)
1633701622,12,4,Phase Inactive  (Phase 4)
1633701622,11,4,Phase End Red Cl  (Phase 4)
1633701622,0,2,Phase On  (Phase 2)
1633701622,1,2,Phase Begin Green  (Phase 2)
1633701622,21,2,Ped Begin Walk  (Ped 2)
1633701622,1102,2,Bike Call Off  (Phase 2)
1633701622,64,1,Overlap Begin Red Cl  (Overlap  (Overlap A)
1633701622,31,1,Barrier Term  (Preceding Phase 1)
1633701622,1103,2,Bike Call On  (Phase 2)
1633701622,61,1,Overlap Begin Green  (Overlap  (Overlap A)
1633701623,90,4,Ped Detector On  (Ped Det #4)
1633701623,2,4,Phase Check  (Phase 4)
1633701623,45,4,Ped Call Registered  (Ped 4)
1633701624,89,4,Ped Detector Off  (Ped Det #4)
1633701624,46,4,Phase Omit On  (Phase 4)
1633701627,81,2,Detector Off  (Veh Det #2)
1633701629,82,11,Detector On  (Veh Det #11)
1633701629,82,2,Detector On  (Veh Det #2)
1633701630,81,11,Detector Off  (Veh Det #11)
1633701630,3,2,Phase Min Complete  (Phase 2)
1633701632,81,2,Detector Off  (Veh Det #2)
1633701635,82,14,Detector On  (Veh Det #14)
1633701635,48,1,Ped Omit On  (Ped 1)
1633701635,4,2,Phase Gap Out  (Phase 2)
1633701636,81,14,Detector Off  (Veh Det #14)
1633701636,82,4,Detector On  (Veh Det #4)
1633701636,43,4,Phase Call Registered  (Phase 4)
1633701637,46,1,Phase Omit On  (Phase 1)
1633701639,82,13,Detector On  (Veh Det #13)
1633701639,82,15,Detector On  (Veh Det #15)
1633701640,81,13,Detector Off  (Veh Det #13)
1633701640,81,15,Detector Off  (Veh Det #15)
1633701642,82,14,Detector On  (Veh Det #14)
1633701644,81,14,Detector Off  (Veh Det #14)
1633701646,82,10,Detector On  (Veh Det #10)
1633701646,82,2,Detector On  (Veh Det #2)
1633701647,81,10,Detector Off  (Veh Det #10)
1633701649,82,13,Detector On  (Veh Det #13)
1633701649,81,2,Detector Off  (Veh Det #2)
1633701650,81,13,Detector Off  (Veh Det #13)
