Data,,,Translation,,Code,Formatting
Timestamp,Code,Param,Message,,1,Phase Begin Green  (Phase )
1633708800,151,4,Coord Phase Yield Pt  (Phase 4),,10,Phase Begin Red Cl  (Phase )
1633708800,7,2,Phase Green Term  (Phase 2),,81,Detector Off  (Veh Det #)
1633708800,8,2,Phase Begin Yellow Cl  (Phase 2),,82,Detector On  (Veh Det #)
1633708800,23,2,Ped Begin Don’t Walk  (Ped 2),,,
1633708800,47,2,Phase Omit Off  (Phase 2),,,
1633708800,47,4,Phase Omit Off  (Phase 4),,,
1633708800,49,4,Ped Omit Off  (Ped 4),,,
1633708800,63,1,Overlap Begin Yellow Cl  (Overlap  (Overlap A),,,
1633708803,1000,0,Data Gap Alarm,,,
1633708803,81,13,Detector Off  (Veh Det #13),,,
1633708803,82,2,Detector On  (Veh Det #2),,,
1633708803,82,16,Detector On  (Veh Det #16),,,
1633708803,173,2,Unit Flash Status,,,
1633708803,174,128,Unit Alarm Status 1,,,
1633708803,175,0,Alarm Group Status,,,
1633708803,177,1,Special Func Output Off  (Func #1),,,
1633708803,177,2,Special Func Output Off  (Func #2),,,
1633708803,177,3,Special Func Output Off  (Func #3),,,
1633708803,177,4,Special Func Output Off  (Func #4),,,
1633708803,177,5,Special Func Output Off  (Func #5),,,
1633708803,177,6,Special Func Output Off  (Func #6),,,
1633708803,177,7,Special Func Output Off  (Func #7),,,
1633708803,177,8,Special Func Output Off  (Func #8),,,
1633708803,131,6,Coord Pattern  (Pattern #6),,,
1633708803,132,80,Coord Cycle Length = 80s,,,
1633708803,133,54,Coord Offset = 54s,,,
1633708803,134,13,Programmed Split 1 Length = 13s,,,
1633708803,135,32,Programmed Split 2 Length = 32s,,,
1633708803,136,0,Programmed Split 3 Length = 0s,,,
1633708803,137,35,Programmed Split 4 Length = 35s,,,
1633708803,138,0,Programmed Split 5 Length = 0s,,,
1633708803,139,0,Programmed Split 6 Length = 0s,,,
1633708803,140,0,Programmed Split 7 Length = 0s,,,
1633708803,141,0,Programmed Split 8 Length = 0s,,,
1633708803,142,0,Programmed Split 9 Length = 0s,,,
1633708803,143,0,Programmed Split 10 Length = 0s,,,
1633708803,144,0,Programmed Split 11 Length = 0s,,,
1633708803,145,0,Programmed Split 12 Length = 0s,,,
1633708803,146,0,Programmed Split 13 Length = 0s,,,
1633708803,147,0,Programmed Split 14 Length = 0s,,,
1633708803,148,0,Programmed Split 15 Length = 0s,,,
1633708803,149,0,Programmed Split 16 Length = 0s,,,
1633708803,151,1,Coord Phase Yield Pt  (Phase 1),,,
1633708803,151,3,Coord Phase Yield Pt  (Phase 3),,,
1633708803,2,2,Phase Check  (Phase 2),,,
1633708803,47,1,Phase Omit Off  (Phase 1),,,
1633708803,49,1,Ped Omit Off  (Ped 1),,,
1633708803,81,2,Detector Off  (Veh Det #2),,,
1633708803,82,2,Detector On  (Veh Det #2),,,
1633708803,82,12,Detector On  (Veh Det #12),,,
1633708804,81,16,Detector Off  (Veh Det #16),,,
1633708804,81,2,Detector Off  (Veh Det #2),,,
1633708804,9,2,Phase End Yellow Cl  (Phase 2),,,
1633708804,10,2,Phase Begin Red Cl  (Phase 2),,,
1633708804,64,1,Overlap Begin Red Cl  (Overlap  (Overlap A),,,
1633708804,82,2,Detector On  (Veh Det #2),,,
1633708804,81,12,Detector Off  (Veh Det #12),,,
1633708804,82,12,Detector On  (Veh Det #12),,,
1633708805,12,2,Phase Inactive  (Phase 2),,,
1633708805,11,2,Phase End Red Cl  (Phase 2),,,
1633708805,0,4,Phase On  (Phase 4),,,
1633708805,1,4,Phase Begin Green  (Phase 4),,,
1633708805,65,1,Overlap Off  (Overlap  (Overlap A),,,
1633708805,31,1,Barrier Term  (Preceding Phase 1),,,
1633708805,48,4,Ped Omit On  (Ped 4),,,
1633708805,41,2,Phase Hold Active  (Phase 2),,,
1633708805,82,14,Detector On  (Veh Det #14),,,
1633708806,81,12,Detector Off  (Veh Det #12),,,
1633708808,82,11,Detector On  (Veh Det #11),,,
1633708810,81,11,Detector Off  (Veh Det #11),,,
1633708810,82,15,Detector On  (Veh Det #15),,,
1633708811,81,14,Detector Off  (Veh Det #14),,,
1633708811,3,4,Phase Min Complete  (Phase 4),,,
1633708811,82,11,Detector On  (Veh Det #11),,,
1633708812,82,10,Detector On  (Veh Det #10),,,
1633708812,81,15,Detector Off  (Veh Det #15),,,
1633708814,81,10,Detector Off  (Veh Det #10),,,
1633708814,82,12,Detector On  (Veh Det #12),,,
1633708814,82,13,Detector On  (Veh Det #13),,,
1633708814,82,14,Detector On  (Veh Det #14),,,
1633708815,82,15,Detector On  (Veh Det #15),,,
1633708815,81,13,Detector Off  (Veh Det #13),,,
1633708816,81,15,Detector Off  (Veh Det #15),,,
1633708816,81,14,Detector Off  (Veh Det #14),,,
1633708820,82,13,Detector On  (Veh Det #13),,,
1633708821,81,13,Detector Off  (Veh Det #13),,,
1633708823,82,13,Detector On  (Veh Det #13),,,
1633708823,81,11,Detector Off  (Veh Det #11),,,
1633708823,81,13,Detector Off  (Veh Det #13),,,
1633708824,82,13,Detector On  (Veh Det #13),,,
1633708824,46,4,Phase Omit On  (Phase 4),,,
1633708825,81,13,Detector Off  (Veh Det #13),,,
1633708825,82,13,Detector On  (Veh Det #13),,,
1633708826,81,13,Detector Off  (Veh Det #13),,,
1633708829,81,4,Detector Off  (Veh Det #4),,,
1633708829,44,4,Phase Call Dropped  (Phase 4),,,
1633708832,7,4,Phase Green Term  (Phase 4),,,
1633708832,8,4,Phase Begin Yellow Cl  (Phase 4),,,
1633708832,4,4,Phase Gap Out  (Phase 4),,,
1633708833,82,14,Detector On  (Veh Det #14),,,
1633708833,82,4,Detector On  (Veh Det #4),,,
1633708833,2,4,Phase Check  (Phase 4),,,
1633708833,43,4,Phase Call Registered  (Phase 4),,,
1633708834,81,14,Detector Off  (Veh Det #14),,,
1633708835,6,4,Phase Force Off  (Phase 4),,,
1633708835,81,4,Detector Off  (Veh Det #4),,,
1633708835,82,14,Detector On  (Veh Det #14),,,
1633708836,9,4,Phase End Yellow Cl  (Phase 4),,,
1633708836,10,4,Phase Begin Red Cl  (Phase 4),,,
1633708837,82,4,Detector On  (Veh Det #4),,,
1633708837,81,14,Detector Off  (Veh Det #14),,,
1633708837,82,11,Detector On  (Veh Det #11),,,
1633708837,12,4,Phase Inactive  (Phase 4),,,
1633708837,11,4,Phase End Red Cl  (Phase 4),,,
1633708837,0,1,Phase On  (Phase 1),,,
1633708837,1,1,Phase Begin Green  (Phase 1),,,
1633708837,61,1,Overlap Begin Green  (Overlap  (Overlap A),,,
1633708837,31,1,Barrier Term  (Preceding Phase 1),,,
1633708837,48,1,Ped Omit On  (Ped 1),,,
1633708839,82,10,Detector On  (Veh Det #10),,,
1633708840,46,1,Phase Omit On  (Phase 1),,,
1633708840,81,10,Detector Off  (Veh Det #10),,,
1633708841,82,9,Detector On  (Veh Det #9),,,
1633708841,81,9,Detector Off  (Veh Det #9),,,
1633708842,82,15,Detector On  (Veh Det #15),,,
1633708843,3,1,Phase Min Complete  (Phase 1),,,
1633708844,82,13,Detector On  (Veh Det #13),,,
1633708845,81,13,Detector Off  (Veh Det #13),,,
1633708845,82,9,Detector On  (Veh Det #9),,,
1633708845,7,1,Phase Green Term  (Phase 1),,,
1633708845,8,1,Phase Begin Yellow Cl  (Phase 1),,,
1633708845,6,1,Phase Force Off  (Phase 1),,,
1633708845,81,9,Detector Off  (Veh Det #9),,,
1633708845,2,1,Phase Check  (Phase 1),,,
1633708846,82,16,Detector On  (Veh Det #16),,,
1633708846,81,16,Detector Off  (Veh Det #16),,,
1633708849,9,1,Phase End Yellow Cl  (Phase 1),,,
1633708849,10,1,Phase Begin Red Cl  (Phase 1),,,
1633708850,81,1,Detector Off  (Veh Det #1),,,
1633708850,44,1,Phase Call Dropped  (Phase 1),,,
1633708850,12,1,Phase Inactive  (Phase 1),,,
1633708850,11,1,Phase End Red Cl  (Phase 1),,,
1633708850,0,2,Phase On  (Phase 2),,,
1633708850,1,2,Phase Begin Green  (Phase 2),,,
1633708850,21,2,Ped Begin Walk  (Ped 2),,,
1633708850,1102,2,Bike Call Off  (Phase 2),,,
1633708850,1103,2,Bike Call On  (Phase 2),,,
1633708853,131,45,Coord Pattern  (Pattern #45),,,
1633708853,132,90,Coord Cycle Length = 90s,,,
1633708853,133,70,Coord Offset = 70s,,,
1633708853,134,13,Programmed Split 1 Length = 13s,,,
1633708853,135,42,Programmed Split 2 Length = 42s,,,
1633708853,136,0,Programmed Split 3 Length = 0s,,,
1633708853,137,35,Programmed Split 4 Length = 35s,,,
1633708853,138,0,Programmed Split 5 Length = 0s,,,
1633708853,139,0,Programmed Split 6 Length = 0s,,,
1633708853,140,0,Programmed Split 7 Length = 0s,,,
1633708853,141,0,Programmed Split 8 Length = 0s,,,
1633708853,142,0,Programmed Split 9 Length = 0s,,,
1633708853,143,0,Programmed Split 10 Length = 0s,,,
1633708853,144,0,Programmed Split 11 Length = 0s,,,
1633708853,145,0,Programmed Split 12 Length = 0s,,,
1633708853,146,0,Programmed Split 13 Length = 0s,,,
1633708853,147,0,Programmed Split 14 Length = 0s,,,
1633708853,148,0,Programmed Split 15 Length = 0s,,,
1633708853,149,0,Programmed Split 16 Length = 0s,,,
1633708853,150,5,Coord Cycle State,,,
1633708853,150,2,Coord Cycle State,,,
1633708855,81,12,Detector Off  (Veh Det #12),,,
1633708857,82,10,Detector On  (Veh Det #10),,,
1633708857,82,12,Detector On  (Veh Det #12),,,
1633708857,81,12,Detector Off  (Veh Det #12),,,
1633708857,82,12,Detector On  (Veh Det #12),,,
1633708857,81,10,Detector Off  (Veh Det #10),,,
1633708857,81,11,Detector Off  (Veh Det #11),,,
1633708858,3,2,Phase Min Complete  (Phase 2),,,
1633708859,81,12,Detector Off  (Veh Det #12),,,
1633708860,82,12,Detector On  (Veh Det #12),,,
1633708861,81,12,Detector Off  (Veh Det #12),,,
1633708862,82,11,Detector On  (Veh Det #11),,,
1633708862,81,15,Detector Off  (Veh Det #15),,,
1633708863,81,11,Detector Off  (Veh Det #11),,,
1633708864,82,12,Detector On  (Veh Det #12),,,
1633708864,81,12,Detector Off  (Veh Det #12),,,
1633708866,82,11,Detector On  (Veh Det #11),,,
1633708867,81,11,Detector Off  (Veh Det #11),,,
1633708868,82,10,Detector On  (Veh Det #10),,,
1633708869,81,10,Detector Off  (Veh Det #10),,,
1633708870,82,11,Detector On  (Veh Det #11),,,
1633708871,81,11,Detector Off  (Veh Det #11),,,
1633708871,82,10,Detector On  (Veh Det #10),,,
1633708871,82,9,Detector On  (Veh Det #9),,,
1633708872,81,10,Detector Off  (Veh Det #10),,,
1633708872,81,9,Detector Off  (Veh Det #9),,,
1633708872,82,12,Detector On  (Veh Det #12),,,
1633708872,82,9,Detector On  (Veh Det #9),,,
1633708872,81,12,Detector Off  (Veh Det #12),,,
1633708873,82,16,Detector On  (Veh Det #16),,,
1633708873,81,9,Detector Off  (Veh Det #9),,,
1633708873,82,1,Detector On  (Veh Det #1),,,
1633708873,2,1,Phase Check  (Phase 1),,,
1633708873,43,1,Phase Call Registered  (Phase 1),,,
1633708873,81,16,Detector Off  (Veh Det #16),,,
1633708874,82,10,Detector On  (Veh Det #10),,,
1633708874,81,2,Detector Off  (Veh Det #2),,,
1633708875,82,2,Detector On  (Veh Det #2),,,
1633708875,82,14,Detector On  (Veh Det #14),,,
1633708875,81,10,Detector Off  (Veh Det #10),,,
1633708876,81,14,Detector Off  (Veh Det #14),,,
1633708877,81,2,Detector Off  (Veh Det #2),,,
1633708877,82,10,Detector On  (Veh Det #10),,,
1633708877,81,1,Detector Off  (Veh Det #1),,,
1633708877,44,1,Phase Call Dropped  (Phase 1),,,
1633708878,81,10,Detector Off  (Veh Det #10),,,
1633708878,82,2,Detector On  (Veh Det #2),,,
1633708878,82,10,Detector On  (Veh Det #10),,,
1633708878,81,10,Detector Off  (Veh Det #10),,,
1633708878,82,13,Detector On  (Veh Det #13),,,
1633708880,81,2,Detector Off  (Veh Det #2),,,
1633708881,81,13,Detector Off  (Veh Det #13),,,
1633708883,4,2,Phase Gap Out  (Phase 2),,,
1633708891,22,2,Ped Begin Clearance  (Ped 2),,,
1633708891,42,2,Phase Hold Released  (Phase 2),,,
1633708891,46,2,Phase Omit On  (Phase 2),,,
1633708891,82,14,Detector On  (Veh Det #14),,,
1633708893,81,14,Detector Off  (Veh Det #14),,,
1633708893,82,10,Detector On  (Veh Det #10),,,
1633708893,82,14,Detector On  (Veh Det #14),,,
1633708894,82,2,Detector On  (Veh Det #2),,,
1633708894,81,10,Detector Off  (Veh Det #10),,,
1633708895,81,14,Detector Off  (Veh Det #14),,,
1633708896,82,14,Detector On  (Veh Det #14),,,
1633708896,81,2,Detector Off  (Veh Det #2),,,
1633708896,81,14,Detector Off  (Veh Det #14),,,
1633708898,82,14,Detector On  (Veh Det #14),,,
1633708899,82,10,Detector On  (Veh Det #10),,,
1633708899,4,2,Phase Gap Out  (Phase 2),,,
1633708899,82,2,Detector On  (Veh Det #2),,,
1633708899,81,10,Detector Off  (Veh Det #10),,,
1633708900,81,14,Detector Off  (Veh Det #14),,,
1633708901,81,2,Detector Off  (Veh Det #2),,,
1633708902,82,11,Detector On  (Veh Det #11),,,
1633708902,82,2,Detector On  (Veh Det #2),,,
1633708903,81,11,Detector Off  (Veh Det #11),,,
1633708905,81,2,Detector Off  (Veh Det #2),,,
1633708905,82,13,Detector On  (Veh Det #13),,,
1633708905,82,11,Detector On  (Veh Det #11),,,
1633708905,82,2,Detector On  (Veh Det #2),,,
1633708905,82,12,Detector On  (Veh Det #12),,,
1633708906,81,13,Detector Off  (Veh Det #13),,,
1633708906,81,11,Detector Off  (Veh Det #11),,,
1633708906,81,12,Detector Off  (Veh Det #12),,,
1633708906,151,4,Coord Phase Yield Pt  (Phase 4),,,
1633708906,7,2,Phase Green Term  (Phase 2),,,
1633708906,8,2,Phase Begin Yellow Cl  (Phase 2),,,
1633708906,23,2,Ped Begin Don’t Walk  (Ped 2),,,
1633708906,47,2,Phase Omit Off  (Phase 2),,,
1633708906,47,4,Phase Omit Off  (Phase 4),,,
1633708906,49,4,Ped Omit Off  (Ped 4),,,
1633708906,63,1,Overlap Begin Yellow Cl  (Overlap  (Overlap A),,,
1633708906,151,1,Coord Phase Yield Pt  (Phase 1),,,
1633708906,151,3,Coord Phase Yield Pt  (Phase 3),,,
1633708906,2,2,Phase Check  (Phase 2),,,
1633708906,47,1,Phase Omit Off  (Phase 1),,,
1633708906,49,1,Ped Omit Off  (Ped 1),,,
1633708907,82,11,Detector On  (Veh Det #11),,,
1633708907,82,12,Detector On  (Veh Det #12),,,
1633708907,82,14,Detector On  (Veh Det #14),,,
1633708908,81,2,Detector Off  (Veh Det #2),,,
1633708908,81,11,Detector Off  (Veh Det #11),,,
1633708908,81,12,Detector Off  (Veh Det #12),,,
1633708908,82,2,Detector On  (Veh Det #2),,,
1633708909,82,12,Detector On  (Veh Det #12),,,
1633708910,81,12,Detector Off  (Veh Det #12),,,
1633708910,9,2,Phase End Yellow Cl  (Phase 2),,,
1633708910,10,2,Phase Begin Red Cl  (Phase 2),,,
1633708910,64,1,Overlap Begin Red Cl  (Overlap  (Overlap A),,,
1633708911,12,2,Phase Inactive  (Phase 2),,,
1633708911,11,2,Phase End Red Cl  (Phase 2),,,
1633708911,0,4,Phase On  (Phase 4),,,
1633708911,1,4,Phase Begin Green  (Phase 4),,,
1633708911,65,1,Overlap Off  (Overlap  (Overlap A),,,
1633708911,31,1,Barrier Term  (Preceding Phase 1),,,
1633708911,48,4,Ped Omit On  (Ped 4),,,
1633708911,41,2,Phase Hold Active  (Phase 2),,,
1633708915,81,14,Detector Off  (Veh Det #14),,,
1633708916,82,15,Detector On  (Veh Det #15),,,
1633708917,81,15,Detector Off  (Veh Det #15),,,
1633708917,3,4,Phase Min Complete  (Phase 4),,,
1633708919,82,13,Detector On  (Veh Det #13),,,
1633708919,81,13,Detector Off  (Veh Det #13),,,
1633708920,82,15,Detector On  (Veh Det #15),,,
1633708920,82,14,Detector On  (Veh Det #14),,,
1633708921,81,15,Detector Off  (Veh Det #15),,,
1633708922,82,15,Detector On  (Veh Det #15),,,
1633708922,81,14,Detector Off  (Veh Det #14),,,
1633708923,81,15,Detector Off  (Veh Det #15),,,
1633708924,82,15,Detector On  (Veh Det #15),,,
1633708924,81,15,Detector Off  (Veh Det #15),,,
1633708925,82,15,Detector On  (Veh Det #15),,,
1633708925,81,15,Detector Off  (Veh Det #15),,,
1633708925,82,15,Detector On  (Veh Det #15),,,
1633708926,81,15,Detector Off  (Veh Det #15),,,
1633708928,82,15,Detector On  (Veh Det #15),,,
1633708929,81,15,Detector Off  (Veh Det #15),,,
