Data,,,Translation,,Code,Formatting
Timestamp,Code,Param,Message,,1,Phase Begin Green  (Phase )
1633705203,1001,169869402,Data Gap Alarm,,8,Phase Begin Yellow Cl  (Phase )
1633705203,1000,0,Detector On  (Veh Det #10),,10,Phase Begin Red Cl  (Phase )
1633705203,82,10,Unit Flash Status,,81,Detector Off  (Veh Det #)
1633705203,173,2,Unit Alarm Status 1,,82,Detector On  (Veh Det #)
1633705203,174,128,Alarm Group Status,,,
1633705203,175,0,Special Func Output Off  (Func #1),,,
1633705203,177,1,Special Func Output Off  (Func #2),,,
1633705203,177,2,Special Func Output Off  (Func #3),,,
1633705203,177,3,Special Func Output Off  (Func #4),,,
1633705203,177,4,Special Func Output Off  (Func #5),,,
1633705203,177,5,Special Func Output Off  (Func #6),,,
1633705203,177,6,Special Func Output Off  (Func #7),,,
1633705203,177,7,Special Func Output Off  (Func #8),,,
1633705203,177,8,Coord Pattern  (Pattern #6),,,
1633705203,131,6,Coord Cycle Length = 80s,,,
1633705203,132,80,Coord Offset = 54s,,,
1633705203,133,54,Programmed Split 1 Length = 13s,,,
1633705203,134,13,Programmed Split 2 Length = 32s,,,
1633705203,135,32,Programmed Split 3 Length = 0s,,,
1633705203,136,0,Programmed Split 4 Length = 35s,,,
1633705203,137,35,Programmed Split 5 Length = 0s,,,
1633705203,138,0,Programmed Split 6 Length = 0s,,,
1633705203,139,0,Programmed Split 7 Length = 0s,,,
1633705203,140,0,Programmed Split 8 Length = 0s,,,
1633705203,141,0,Programmed Split 9 Length = 0s,,,
1633705203,142,0,Programmed Split 10 Length = 0s,,,
1633705203,143,0,Programmed Split 11 Length = 0s,,,
1633705203,144,0,Programmed Split 12 Length = 0s,,,
1633705203,145,0,Programmed Split 13 Length = 0s,,,
1633705203,146,0,Programmed Split 14 Length = 0s,,,
1633705203,147,0,Programmed Split 15 Length = 0s,,,
1633705203,148,0,Programmed Split 16 Length = 0s,,,
1633705203,149,0,Phase End Yellow Cl  (Phase 2),,,
1633705203,9,2,Phase Begin Red Cl  (Phase 2),,,
1633705203,10,2,Overlap Begin Red Cl  (Overlap  (Overlap A),,,
1633705203,64,1,Detector On  (Veh Det #9),,,
1633705203,82,9,Detector Off  (Veh Det #10),,,
1633705203,81,10,Phase Inactive  (Phase 2),,,
1633705203,12,2,Phase End Red Cl  (Phase 2),,,
1633705203,11,2,Phase On  (Phase 4),,,
1633705203,0,4,Phase Begin Green  (Phase 4),,,
1633705203,1,4,Overlap Off  (Overlap  (Overlap A),,,
1633705203,65,1,Barrier Term  (Preceding Phase 1),,,
1633705204,31,1,Ped Omit On  (Ped 4),,,
1633705204,48,4,Phase Hold Active  (Phase 2),,,
1633705204,41,2,Detector On  (Veh Det #11),,,
1633705205,82,11,Detector Off  (Veh Det #9),,,
1633705205,81,9,Detector On  (Veh Det #12),,,
1633705206,82,12,Detector Off  (Veh Det #12),,,
1633705206,81,12,Detector Off  (Veh Det #11),,,
1633705209,81,11,Phase Min Complete  (Phase 4),,,
1633705210,3,4,Detector Off  (Veh Det #14),,,
1633705211,81,14,Detector Off  (Veh Det #13),,,
1633705213,81,13,Detector On  (Veh Det #13),,,
1633705214,82,13,Detector On  (Veh Det #12),,,
1633705214,82,12,Detector On  (Veh Det #14),,,
1633705214,82,14,Detector Off  (Veh Det #13),,,
1633705215,81,13,Detector Off  (Veh Det #12),,,
1633705216,81,12,Detector Off  (Veh Det #14),,,
1633705217,81,14,Detector On  (Veh Det #14),,,
1633705218,82,14,Detector Off  (Veh Det #14),,,
1633705221,81,14,Detector Off  (Veh Det #4),,,
1633705221,81,4,Phase Call Dropped  (Phase 4),,,
1633705221,44,4,Detector On  (Veh Det #4),,,
1633705221,82,4,Phase Call Registered  (Phase 4),,,
1633705221,43,4,Detector On  (Veh Det #14),,,
1633705222,82,14,Detector Off  (Veh Det #4),,,
1633705222,81,4,Phase Call Dropped  (Phase 4),,,
1633705222,44,4,Detector On  (Veh Det #4),,,
1633705222,82,4,Phase Call Registered  (Phase 4),,,
1633705223,43,4,Phase Omit On  (Phase 4),,,
1633705223,46,4,Detector Off  (Veh Det #14),,,
1633705225,81,14,Detector Off  (Veh Det #4),,,
1633705225,81,4,Phase Call Dropped  (Phase 4),,,
1633705226,44,4,Detector On  (Veh Det #12),,,
1633705226,82,12,Detector On  (Veh Det #14),,,
1633705227,82,14,Detector On  (Veh Det #4),,,
1633705227,82,4,Phase Call Registered  (Phase 4),,,
1633705228,43,4,Detector Off  (Veh Det #14),,,
1633705230,81,14,Detector Off  (Veh Det #4),,,
1633705230,81,4,Phase Call Dropped  (Phase 4),,,
1633705230,44,4,Detector On  (Veh Det #14),,,
1633705230,82,14,Detector On  (Veh Det #15),,,
1633705231,82,15,Detector On  (Veh Det #4),,,
1633705231,82,4,Phase Call Registered  (Phase 4),,,
1633705231,43,4,Detector Off  (Veh Det #15),,,
1633705232,81,15,Detector Off  (Veh Det #14),,,
1633705232,81,14,Detector On  (Veh Det #16),,,
1633705233,82,16,Detector Off  (Veh Det #4),,,
1633705233,81,4,Detector On  (Veh Det #14),,,
1633705233,82,14,Phase Call Dropped  (Phase 4),,,
1633705234,44,4,Phase Green Term  (Phase 4),,,
1633705234,7,4,Phase Begin Yellow Cl  (Phase 4),,,
1633705234,8,4,Phase Force Off  (Phase 4),,,
1633705234,6,4,Detector Off  (Veh Det #16),,,
1633705234,81,16,Phase Check  (Phase 4),,,
1633705234,2,4,Phase Call Registered  (Phase 4),,,
1633705234,43,4,Detector On  (Veh Det #4),,,
1633705235,82,4,Detector Off  (Veh Det #14),,,
1633705236,81,14,Phase Omit On  (Phase 1),,,
1633705237,46,1,Detector Off  (Veh Det #4),,,
1633705238,81,4,Phase End Yellow Cl  (Phase 4),,,
1633705238,9,4,Phase Begin Red Cl  (Phase 4),,,
1633705239,10,4,Phase Inactive  (Phase 4),,,
1633705239,12,4,Phase End Red Cl  (Phase 4),,,
1633705239,11,4,Phase On  (Phase 1),,,
1633705239,0,1,Phase Begin Green  (Phase 1),,,
1633705239,1,1,Overlap Begin Green  (Overlap  (Overlap A),,,
1633705239,61,1,Barrier Term  (Preceding Phase 1),,,
1633705240,31,1,Detector On  (Veh Det #14),,,
1633705240,82,14,Detector On  (Veh Det #9),,,
1633705241,82,9,Detector Off  (Veh Det #9),,,
1633705241,81,9,Detector On  (Veh Det #4),,,
1633705241,82,4,Detector Off  (Veh Det #14),,,
1633705244,81,14,Detector Off  (Veh Det #4),,,
1633705245,81,4,Phase Min Complete  (Phase 1),,,
1633705247,3,1,Phase Green Term  (Phase 1),,,
1633705247,7,1,Phase Begin Yellow Cl  (Phase 1),,,
1633705247,8,1,Phase Force Off  (Phase 1),,,
1633705247,6,1,Phase Check  (Phase 1),,,
1633705247,2,1,Detector Off  (Veh Det #1),,,
1633705247,81,1,Detector On  (Veh Det #14),,,
1633705247,82,14,Phase Call Dropped  (Phase 1),,,
1633705248,44,1,Detector On  (Veh Det #4),,,
1633705248,82,4,Detector Off  (Veh Det #14),,,
1633705249,81,14,Detector On  (Veh Det #14),,,
1633705251,82,14,Phase End Yellow Cl  (Phase 1),,,
1633705251,9,1,Phase Begin Red Cl  (Phase 1),,,
1633705252,10,1,Coord Cycle State,,,
1633705252,150,5,Phase Inactive  (Phase 1),,,
1633705252,12,1,Phase End Red Cl  (Phase 1),,,
1633705252,11,1,Phase On  (Phase 2),,,
1633705252,0,2,Phase Begin Green  (Phase 2),,,
1633705252,1,2,Ped Begin Walk  (Ped 2),,,
1633705252,21,2,Bike Call Off  (Phase 2),,,
1633705252,1102,2,Ped Omit On  (Ped 1),,,
1633705252,48,1,Coord Cycle State,,,
1633705252,150,1,Bike Call On  (Phase 2),,,
1633705256,1103,2,Detector On  (Veh Det #15),,,
1633705257,82,15,Detector Off  (Veh Det #15),,,
1633705259,81,15,Detector Off  (Veh Det #12),,,
1633705259,81,12,Detector On  (Veh Det #11),,,
1633705260,82,11,Phase Min Complete  (Phase 2),,,
1633705262,3,2,Detector On  (Veh Det #10),,,
1633705262,82,10,Detector Off  (Veh Det #10),,,
1633705263,81,10,Ped Begin Clearance  (Ped 2),,,
1633705263,22,2,Phase Hold Released  (Phase 2),,,
1633705263,42,2,Phase Omit On  (Phase 2),,,
1633705264,46,2,Detector On  (Veh Det #12),,,
1633705264,82,12,Detector Off  (Veh Det #12),,,
1633705264,81,12,Detector Off  (Veh Det #11),,,
1633705265,81,11,Detector On  (Veh Det #11),,,
1633705266,82,11,Detector On  (Veh Det #12),,,
1633705267,82,12,Detector On  (Veh Det #9),,,
1633705267,82,9,Detector On  (Veh Det #10),,,
1633705267,82,10,Detector Off  (Veh Det #11),,,
1633705267,81,11,Detector Off  (Veh Det #9),,,
1633705267,81,9,Detector On  (Veh Det #16),,,
1633705268,82,16,Detector Off  (Veh Det #10),,,
1633705268,81,10,Detector On  (Veh Det #11),,,
1633705268,82,11,Detector Off  (Veh Det #12),,,
1633705268,81,12,Detector On  (Veh Det #10),,,
