,Message,Timestamp
0,Ped Begin Walk  (Ped 2),1633701622
1,Ped Begin Clearance  (Ped 2),1633701664
2,Ped Begin Don’t Walk  (Ped 2),1633701679
3,Ped Begin Walk  (Ped 2),1633701733
4,Ped Begin Clearance  (Ped 2),1633701744
5,Ped Begin Don’t Walk  (Ped 2),1633701759
6,Ped Begin Walk  (Ped 2),1633701788
7,Ped Begin Clearance  (Ped 2),1633701824
8,Ped Begin Don’t Walk  (Ped 2),1633701839
9,Ped Begin Walk  (Ped 2),1633701879
10,Ped Begin Clearance  (Ped 2),1633701904
11,Ped Begin Don’t Walk  (Ped 2),1633701919
12,Ped Begin Walk  (Ped 2),1633701950
13,Ped Begin Clearance  (Ped 2),1633701984
14,Ped Begin Don’t Walk  (Ped 2),1633701999
15,Ped Begin Walk  (Ped 2),1633702036
16,Ped Begin Clearance  (Ped 2),1633702064
17,Ped Begin Don’t Walk  (Ped 2),1633702079
18,Ped Begin Walk  (Ped 2),1633702112
19,Ped Begin Clearance  (Ped 2),1633702144
20,Ped Begin Don’t Walk  (Ped 2),1633702159
21,Ped Begin Walk  (Ped 2),1633702206
22,Ped Begin Clearance  (Ped 2),1633702224
23,Ped Begin Don’t Walk  (Ped 2),1633702239
24,Ped Begin Walk  (Ped 2),1633702290
25,Ped Begin Clearance  (Ped 2),1633702304
26,Ped Begin Don’t Walk  (Ped 2),1633702319
27,Ped Begin Walk  (Ped 2),1633702372
28,Ped Begin Clearance  (Ped 2),1633702384
29,Ped Begin Don’t Walk  (Ped 2),1633702399
30,Ped Begin Walk  (Ped 2),1633702452
31,Ped Begin Clearance  (Ped 2),1633702464
32,Ped Begin Don’t Walk  (Ped 2),1633702479
33,Ped Begin Walk  (Ped 2),1633702530
34,Ped Begin Clearance  (Ped 2),1633702544
35,Ped Begin Don’t Walk  (Ped 2),1633702559
36,Ped Begin Walk  (Ped 2),1633702599
37,Ped Begin Clearance  (Ped 2),1633702624
38,Ped Begin Don’t Walk  (Ped 2),1633702639
39,Ped Begin Walk  (Ped 2),1633702677
40,Ped Begin Clearance  (Ped 2),1633702704
41,Ped Begin Don’t Walk  (Ped 2),1633702719
42,Ped Begin Walk  (Ped 2),1633702753
43,Ped Begin Clearance  (Ped 2),1633702784
44,Ped Begin Don’t Walk  (Ped 2),1633702799
45,Ped Begin Walk  (Ped 2),1633702839
46,Ped Begin Clearance  (Ped 2),1633702864
47,Ped Begin Don’t Walk  (Ped 2),1633702879
48,Ped Begin Walk  (Ped 2),1633702907
49,Ped Begin Clearance  (Ped 2),1633702944
50,Ped Begin Don’t Walk  (Ped 2),1633702959
51,Ped Begin Walk  (Ped 2),1633702999
52,Ped Begin Clearance  (Ped 2),1633703024
53,Ped Begin Don’t Walk  (Ped 2),1633703039
54,Ped Begin Walk  (Ped 2),1633703079
55,Ped Begin Clearance  (Ped 2),1633703104
56,Ped Begin Don’t Walk  (Ped 2),1633703119
57,Ped Begin Walk  (Ped 2),1633703154
58,Ped Begin Clearance  (Ped 2),1633703184
59,Ped Begin Don’t Walk  (Ped 2),1633703199
60,Ped Begin Walk  (Ped 2),1633703243
61,Ped Begin Clearance  (Ped 2),1633703264
62,Ped Begin Don’t Walk  (Ped 2),1633703279
63,Ped Begin Walk  (Ped 2),1633703332
64,Ped Begin Clearance  (Ped 2),1633703344
65,Ped Begin Don’t Walk  (Ped 2),1633703359
66,Ped Begin Walk  (Ped 2),1633703398
67,Ped Begin Clearance  (Ped 2),1633703424
68,Ped Begin Don’t Walk  (Ped 2),1633703439
69,Ped Begin Walk  (Ped 2),1633703474
70,Ped Begin Clearance  (Ped 2),1633703504
71,Ped Begin Don’t Walk  (Ped 2),1633703519
72,Ped Begin Walk  (Ped 2),1633703551
73,Ped Begin Clearance  (Ped 2),1633703584
74,Ped Begin Don’t Walk  (Ped 2),1633703599
75,Ped Begin Walk  (Ped 2),1633703638
76,Ped Begin Clearance  (Ped 2),1633703664
77,Ped Begin Don’t Walk  (Ped 2),1633703679
78,Ped Begin Walk  (Ped 2),1633703709
79,Ped Begin Clearance  (Ped 2),1633703744
80,Ped Begin Don’t Walk  (Ped 2),1633703759
81,Ped Begin Walk  (Ped 2),1633703795
82,Ped Begin Clearance  (Ped 2),1633703824
83,Ped Begin Don’t Walk  (Ped 2),1633703839
84,Ped Begin Walk  (Ped 2),1633703887
85,Ped Begin Clearance  (Ped 2),1633703904
86,Ped Begin Don’t Walk  (Ped 2),1633703919
87,Ped Begin Walk  (Ped 2),1633703956
88,Ped Begin Clearance  (Ped 2),1633703984
89,Ped Begin Don’t Walk  (Ped 2),1633703999
90,Ped Begin Walk  (Ped 2),1633704031
91,Ped Begin Clearance  (Ped 2),1633704064
92,Ped Begin Don’t Walk  (Ped 2),1633704079
93,Ped Begin Walk  (Ped 2),1633704105
94,Ped Begin Clearance  (Ped 2),1633704144
95,Ped Begin Don’t Walk  (Ped 2),1633704159
96,Ped Begin Walk  (Ped 2),1633704212
97,Ped Begin Clearance  (Ped 2),1633704224
98,Ped Begin Don’t Walk  (Ped 2),1633704239
99,Ped Begin Walk  (Ped 2),1633704289
100,Ped Begin Clearance  (Ped 2),1633704304
101,Ped Begin Don’t Walk  (Ped 2),1633704319
102,Ped Begin Walk  (Ped 2),1633704372
103,Ped Begin Clearance  (Ped 2),1633704384
104,Ped Begin Don’t Walk  (Ped 2),1633704399
105,Ped Begin Walk  (Ped 2),1633704450
106,Ped Begin Clearance  (Ped 2),1633704464
107,Ped Begin Don’t Walk  (Ped 2),1633704479
108,Ped Begin Walk  (Ped 2),1633704516
109,Ped Begin Clearance  (Ped 2),1633704544
110,Ped Begin Don’t Walk  (Ped 2),1633704559
111,Ped Begin Walk  (Ped 2),1633704599
112,Ped Begin Clearance  (Ped 2),1633704624
113,Ped Begin Don’t Walk  (Ped 2),1633704639
114,Ped Begin Walk  (Ped 2),1633704682
115,Ped Begin Clearance  (Ped 2),1633704704
116,Ped Begin Don’t Walk  (Ped 2),1633704719
117,Ped Begin Walk  (Ped 2),1633704763
118,Ped Begin Clearance  (Ped 2),1633704784
119,Ped Begin Don’t Walk  (Ped 2),1633704799
120,Ped Begin Walk  (Ped 2),1633704852
121,Ped Begin Clearance  (Ped 2),1633704864
122,Ped Begin Don’t Walk  (Ped 2),1633704879
123,Ped Begin Walk  (Ped 2),1633704931
124,Ped Begin Clearance  (Ped 2),1633704943
125,Ped Begin Don’t Walk  (Ped 2),1633704958
126,Ped Begin Walk  (Ped 2),1633705005
127,Ped Begin Clearance  (Ped 2),1633705023
128,Ped Begin Don’t Walk  (Ped 2),1633705038
129,Ped Begin Walk  (Ped 2),1633705083
130,Ped Begin Clearance  (Ped 2),1633705103
131,Ped Begin Don’t Walk  (Ped 2),1633705118
132,Ped Begin Walk  (Ped 2),1633705151
133,Ped Begin Clearance  (Ped 2),1633705183
134,Ped Begin Don’t Walk  (Ped 2),1633705198
135,Ped Begin Walk  (Ped 2),1633705252
136,Ped Begin Clearance  (Ped 2),1633705263
137,Ped Begin Don’t Walk  (Ped 2),1633705278
138,Ped Begin Walk  (Ped 2),1633705329
139,Ped Begin Clearance  (Ped 2),1633705343
140,Ped Begin Don’t Walk  (Ped 2),1633705358
141,Ped Begin Walk  (Ped 2),1633705411
142,Ped Begin Clearance  (Ped 2),1633705423
143,Ped Begin Don’t Walk  (Ped 2),1633705438
144,Ped Begin Walk  (Ped 2),1633705475
145,Ped Begin Clearance  (Ped 2),1633705503
146,Ped Begin Don’t Walk  (Ped 2),1633705518
147,Ped Begin Walk  (Ped 2),1633705569
148,Ped Begin Clearance  (Ped 2),1633705583
149,Ped Begin Don’t Walk  (Ped 2),1633705598
150,Ped Begin Walk  (Ped 2),1633705651
151,Ped Begin Clearance  (Ped 2),1633705663
152,Ped Begin Don’t Walk  (Ped 2),1633705678
153,Ped Begin Walk  (Ped 2),1633705718
154,Ped Begin Clearance  (Ped 2),1633705743
155,Ped Begin Don’t Walk  (Ped 2),1633705758
156,Ped Begin Walk  (Ped 2),1633705790
157,Ped Begin Clearance  (Ped 2),1633705823
158,Ped Begin Don’t Walk  (Ped 2),1633705838
159,Ped Begin Walk  (Ped 2),1633705878
160,Ped Begin Clearance  (Ped 2),1633705903
161,Ped Begin Don’t Walk  (Ped 2),1633705918
162,Ped Begin Walk  (Ped 2),1633705956
163,Ped Begin Clearance  (Ped 2),1633705983
164,Ped Begin Don’t Walk  (Ped 2),1633705998
165,Ped Begin Walk  (Ped 2),1633706038
166,Ped Begin Clearance  (Ped 2),1633706063
167,Ped Begin Don’t Walk  (Ped 2),1633706078
168,Ped Begin Walk  (Ped 2),1633706120
169,Ped Begin Clearance  (Ped 2),1633706143
170,Ped Begin Don’t Walk  (Ped 2),1633706158
171,Ped Begin Walk  (Ped 2),1633706209
172,Ped Begin Clearance  (Ped 2),1633706223
173,Ped Begin Don’t Walk  (Ped 2),1633706238
174,Ped Begin Walk  (Ped 2),1633706278
175,Ped Begin Clearance  (Ped 2),1633706303
176,Ped Begin Don’t Walk  (Ped 2),1633706318
177,Ped Begin Walk  (Ped 2),1633706353
178,Ped Begin Clearance  (Ped 2),1633706383
179,Ped Begin Don’t Walk  (Ped 2),1633706398
180,Ped Begin Walk  (Ped 2),1633706437
181,Ped Begin Clearance  (Ped 2),1633706463
182,Ped Begin Don’t Walk  (Ped 2),1633706478
183,Ped Begin Walk  (Ped 2),1633706518
184,Ped Begin Clearance  (Ped 2),1633706543
185,Ped Begin Don’t Walk  (Ped 2),1633706558
186,Ped Begin Walk  (Ped 2),1633706613
187,Ped Begin Clearance  (Ped 2),1633706625
188,Ped Begin Don’t Walk  (Ped 2),1633706640
189,Ped Begin Walk  (Ped 2),1633706689
190,Ped Begin Clearance  (Ped 2),1633706705
191,Ped Begin Don’t Walk  (Ped 2),1633706720
192,Ped Begin Walk  (Ped 2),1633706749
193,Ped Begin Clearance  (Ped 2),1633706785
194,Ped Begin Don’t Walk  (Ped 2),1633706800
195,Ped Begin Walk  (Ped 2),1633706851
196,Ped Begin Clearance  (Ped 2),1633706865
197,Ped Begin Don’t Walk  (Ped 2),1633706880
198,Ped Begin Walk  (Ped 2),1633706916
199,Ped Begin Clearance  (Ped 2),1633706945
200,Ped Begin Don’t Walk  (Ped 2),1633706960
201,Ped Begin Walk  (Ped 2),1633707004
202,Ped Begin Clearance  (Ped 2),1633707025
203,Ped Begin Don’t Walk  (Ped 2),1633707040
204,Ped Begin Walk  (Ped 2),1633707093
205,Ped Begin Clearance  (Ped 2),1633707105
206,Ped Begin Don’t Walk  (Ped 2),1633707120
207,Ped Begin Walk  (Ped 2),1633707173
208,Ped Begin Clearance  (Ped 2),1633707185
209,Ped Begin Don’t Walk  (Ped 2),1633707200
210,Ped Begin Walk  (Ped 2),1633707253
211,Ped Begin Clearance  (Ped 2),1633707265
212,Ped Begin Don’t Walk  (Ped 2),1633707280
213,Ped Begin Walk  (Ped 2),1633707333
214,Ped Begin Clearance  (Ped 2),1633707345
215,Ped Begin Don’t Walk  (Ped 2),1633707360
216,Ped Begin Walk  (Ped 2),1633707399
217,Ped Begin Clearance  (Ped 2),1633707425
218,Ped Begin Don’t Walk  (Ped 2),1633707440
219,Ped Begin Walk  (Ped 2),1633707492
220,Ped Begin Clearance  (Ped 2),1633707505
221,Ped Begin Don’t Walk  (Ped 2),1633707520
222,Ped Begin Walk  (Ped 2),1633707548
223,Ped Begin Clearance  (Ped 2),1633707585
224,Ped Begin Don’t Walk  (Ped 2),1633707600
225,Ped Begin Walk  (Ped 2),1633707652
226,Ped Begin Clearance  (Ped 2),1633707665
227,Ped Begin Don’t Walk  (Ped 2),1633707680
228,Ped Begin Walk  (Ped 2),1633707719
229,Ped Begin Clearance  (Ped 2),1633707745
230,Ped Begin Don’t Walk  (Ped 2),1633707760
231,Ped Begin Walk  (Ped 2),1633707813
232,Ped Begin Clearance  (Ped 2),1633707825
233,Ped Begin Don’t Walk  (Ped 2),1633707840
234,Ped Begin Walk  (Ped 2),1633707877
235,Ped Begin Clearance  (Ped 2),1633707905
236,Ped Begin Don’t Walk  (Ped 2),1633707920
237,Ped Begin Walk  (Ped 2),1633707967
238,Ped Begin Clearance  (Ped 2),1633707985
239,Ped Begin Don’t Walk  (Ped 2),1633708000
240,Ped Begin Walk  (Ped 2),1633708038
241,Ped Begin Clearance  (Ped 2),1633708065
242,Ped Begin Don’t Walk  (Ped 2),1633708080
243,Ped Begin Walk  (Ped 2),1633708108
244,Ped Begin Clearance  (Ped 2),1633708145
245,Ped Begin Don’t Walk  (Ped 2),1633708160
246,Ped Begin Walk  (Ped 2),1633708205
247,Ped Begin Clearance  (Ped 2),1633708225
248,Ped Begin Don’t Walk  (Ped 2),1633708240
249,Ped Begin Walk  (Ped 2),1633708292
250,Ped Begin Clearance  (Ped 2),1633708305
251,Ped Begin Don’t Walk  (Ped 2),1633708320
252,Ped Begin Walk  (Ped 2),1633708360
253,Ped Begin Clearance  (Ped 2),1633708385
254,Ped Begin Don’t Walk  (Ped 2),1633708400
255,Ped Begin Walk  (Ped 2),1633708432
256,Ped Begin Clearance  (Ped 2),1633708465
257,Ped Begin Don’t Walk  (Ped 2),1633708480
258,Ped Begin Walk  (Ped 2),1633708523
259,Ped Begin Clearance  (Ped 2),1633708545
260,Ped Begin Don’t Walk  (Ped 2),1633708560
261,Ped Begin Walk  (Ped 2),1633708611
262,Ped Begin Clearance  (Ped 2),1633708625
263,Ped Begin Don’t Walk  (Ped 2),1633708640
264,Ped Begin Walk  (Ped 2),1633708670
265,Ped Begin Clearance  (Ped 2),1633708705
266,Ped Begin Don’t Walk  (Ped 2),1633708720
267,Ped Begin Walk  (Ped 2),1633708765
268,Ped Begin Clearance  (Ped 2),1633708785
269,Ped Begin Don’t Walk  (Ped 2),1633708800
270,Ped Begin Walk  (Ped 2),1633708850
271,Ped Begin Clearance  (Ped 2),1633708891
272,Ped Begin Don’t Walk  (Ped 2),1633708906
273,Ped Begin Walk  (Ped 2),1633708958
274,Ped Begin Clearance  (Ped 2),1633708981
275,Ped Begin Don’t Walk  (Ped 2),1633708996
276,Ped Begin Walk  (Ped 2),1633709049
277,Ped Begin Clearance  (Ped 2),1633709071
278,Ped Begin Don’t Walk  (Ped 2),1633709086
279,Ped Begin Walk  (Ped 2),1633709139
280,Ped Begin Clearance  (Ped 2),1633709161
281,Ped Begin Don’t Walk  (Ped 2),1633709176
282,Ped Begin Walk  (Ped 2),1633709208
283,Ped Begin Clearance  (Ped 2),1633709251
284,Ped Begin Don’t Walk  (Ped 2),1633709266
285,Ped Begin Walk  (Ped 2),1633709319
286,Ped Begin Clearance  (Ped 2),1633709341
287,Ped Begin Don’t Walk  (Ped 2),1633709356
288,Ped Begin Walk  (Ped 2),1633709409
289,Ped Begin Clearance  (Ped 2),1633709431
290,Ped Begin Don’t Walk  (Ped 2),1633709446
291,Ped Begin Walk  (Ped 2),1633709499
292,Ped Begin Clearance  (Ped 2),1633709521
293,Ped Begin Don’t Walk  (Ped 2),1633709536
294,Ped Begin Walk  (Ped 2),1633709582
295,Ped Begin Clearance  (Ped 2),1633709611
296,Ped Begin Don’t Walk  (Ped 2),1633709626
297,Ped Begin Walk  (Ped 2),1633709666
298,Ped Begin Clearance  (Ped 2),1633709701
299,Ped Begin Don’t Walk  (Ped 2),1633709716
300,Ped Begin Walk  (Ped 2),1633709764
301,Ped Begin Clearance  (Ped 2),1633709791
302,Ped Begin Don’t Walk  (Ped 2),1633709806
303,Ped Begin Walk  (Ped 2),1633709859
304,Ped Begin Clearance  (Ped 2),1633709881
305,Ped Begin Don’t Walk  (Ped 2),1633709896
306,Ped Begin Walk  (Ped 2),1633709942
307,Ped Begin Clearance  (Ped 2),1633709971
308,Ped Begin Don’t Walk  (Ped 2),1633709986
309,Ped Begin Walk  (Ped 2),1633710031
310,Ped Begin Clearance  (Ped 2),1633710061
311,Ped Begin Don’t Walk  (Ped 2),1633710076
312,Ped Begin Walk  (Ped 2),1633710129
313,Ped Begin Clearance  (Ped 2),1633710151
314,Ped Begin Don’t Walk  (Ped 2),1633710166
315,Ped Begin Walk  (Ped 2),1633710219
316,Ped Begin Clearance  (Ped 2),1633710241
317,Ped Begin Don’t Walk  (Ped 2),1633710256
318,Ped Begin Walk  (Ped 2),1633710309
319,Ped Begin Clearance  (Ped 2),1633710331
320,Ped Begin Don’t Walk  (Ped 2),1633710346
321,Ped Begin Walk  (Ped 2),1633710385
322,Ped Begin Clearance  (Ped 2),1633710421
323,Ped Begin Don’t Walk  (Ped 2),1633710436
324,Ped Begin Walk  (Ped 2),1633710489
325,Ped Begin Clearance  (Ped 2),1633710511
326,Ped Begin Don’t Walk  (Ped 2),1633710526
327,Ped Begin Walk  (Ped 2),1633710579
328,Ped Begin Clearance  (Ped 2),1633710601
329,Ped Begin Don’t Walk  (Ped 2),1633710616
330,Ped Begin Walk  (Ped 2),1633710669
331,Ped Begin Clearance  (Ped 2),1633710691
332,Ped Begin Don’t Walk  (Ped 2),1633710706
333,Ped Begin Walk  (Ped 2),1633710759
334,Ped Begin Clearance  (Ped 2),1633710780
335,Ped Begin Don’t Walk  (Ped 2),1633710795
336,Ped Begin Walk  (Ped 2),1633710828
337,Ped Begin Clearance  (Ped 2),1633710870
338,Ped Begin Don’t Walk  (Ped 2),1633710885
339,Ped Begin Walk  (Ped 2),1633710939
340,Ped Begin Clearance  (Ped 2),1633710960
341,Ped Begin Don’t Walk  (Ped 2),1633710975
342,Ped Begin Walk  (Ped 2),1633711012
343,Ped Begin Clearance  (Ped 2),1633711050
344,Ped Begin Don’t Walk  (Ped 2),1633711065
345,Ped Begin Walk  (Ped 2),1633711118
346,Ped Begin Clearance  (Ped 2),1633711140
347,Ped Begin Don’t Walk  (Ped 2),1633711155
348,Ped Begin Walk  (Ped 2),1633711208
349,Ped Begin Clearance  (Ped 2),1633711230
350,Ped Begin Don’t Walk  (Ped 2),1633711245
351,Ped Begin Walk  (Ped 2),1633711293
352,Ped Begin Clearance  (Ped 2),1633711320
353,Ped Begin Don’t Walk  (Ped 2),1633711335
354,Ped Begin Walk  (Ped 2),1633711388
355,Ped Begin Clearance  (Ped 2),1633711410
356,Ped Begin Don’t Walk  (Ped 2),1633711425
357,Ped Begin Walk  (Ped 2),1633711465
358,Ped Begin Clearance  (Ped 2),1633711500
359,Ped Begin Don’t Walk  (Ped 2),1633711515
360,Ped Begin Walk  (Ped 2),1633711568
361,Ped Begin Clearance  (Ped 2),1633711590
362,Ped Begin Don’t Walk  (Ped 2),1633711605
363,Ped Begin Walk  (Ped 2),1633711653
364,Ped Begin Clearance  (Ped 2),1633711680
365,Ped Begin Don’t Walk  (Ped 2),1633711695
366,Ped Begin Walk  (Ped 2),1633711734
367,Ped Begin Clearance  (Ped 2),1633711770
368,Ped Begin Don’t Walk  (Ped 2),1633711785
369,Ped Begin Walk  (Ped 2),1633711825
370,Ped Begin Clearance  (Ped 2),1633711860
371,Ped Begin Don’t Walk  (Ped 2),1633711875
372,Ped Begin Walk  (Ped 2),1633711928
373,Ped Begin Clearance  (Ped 2),1633711950
374,Ped Begin Don’t Walk  (Ped 2),1633711965
375,Ped Begin Walk  (Ped 2),1633712005
376,Ped Begin Clearance  (Ped 2),1633712040
377,Ped Begin Don’t Walk  (Ped 2),1633712055
378,Ped Begin Walk  (Ped 2),1633712108
379,Ped Begin Clearance  (Ped 2),1633712130
380,Ped Begin Don’t Walk  (Ped 2),1633712145
381,Ped Begin Walk  (Ped 2),1633712196
382,Ped Begin Clearance  (Ped 2),1633712220
383,Ped Begin Don’t Walk  (Ped 2),1633712235
384,Ped Begin Walk  (Ped 2),1633712270
385,Ped Begin Clearance  (Ped 2),1633712310
386,Ped Begin Don’t Walk  (Ped 2),1633712325
