Data,,,Translation,,Code,Formatting
Timestamp,Code,Param,Message,,1,Phase Begin Green  (Phase )
1633705230,1000,0,Phase Call Dropped  (Phase 4),,10,Phase Begin Red Cl  (Phase )
1633705230,82,10,Detector On  (Veh Det #14),,81,Detector Off  (Veh Det #)
1633705230,173,2,Detector On  (Veh Det #15),,82,Detector On  (Veh Det #)
1633705231,174,128,Detector On  (Veh Det #4),,,
1633705231,175,0,Phase Call Registered  (Phase 4),,,
1633705231,177,1,Detector Off  (Veh Det #15),,,
1633705232,177,2,Detector Off  (Veh Det #14),,,
1633705232,177,3,Detector On  (Veh Det #16),,,
1633705233,177,4,Detector Off  (Veh Det #4),,,
1633705233,177,5,Detector On  (Veh Det #14),,,
1633705233,177,6,Phase Call Dropped  (Phase 4),,,
1633705234,177,7,Phase Green Term  (Phase 4),,,
1633705234,177,8,Phase Begin Yellow Cl  (Phase 4),,,
1633705234,131,6,Phase Force Off  (Phase 4),,,
1633705234,132,80,Detector Off  (Veh Det #16),,,
1633705234,133,54,Phase Check  (Phase 4),,,
1633705234,134,13,Phase Call Registered  (Phase 4),,,
1633705234,135,32,Detector On  (Veh Det #4),,,
1633705235,136,0,Detector Off  (Veh Det #14),,,
1633705236,137,35,Phase Omit On  (Phase 1),,,
1633705237,138,0,Detector Off  (Veh Det #4),,,
1633705238,139,0,Phase End Yellow Cl  (Phase 4),,,
1633705238,140,0,Phase Begin Red Cl  (Phase 4),,,
1633705239,141,0,Phase Inactive  (Phase 4),,,
1633705239,142,0,Phase End Red Cl  (Phase 4),,,
1633705239,143,0,Phase On  (Phase 1),,,
1633705239,144,0,Phase Begin Green  (Phase 1),,,
1633705239,145,0,Overlap Begin Green  (Overlap  (Overlap A),,,
1633705239,146,0,Barrier Term  (Preceding Phase 1),,,
1633705240,147,0,Detector On  (Veh Det #14),,,
1633705240,148,0,Detector On  (Veh Det #9),,,
1633705241,149,0,Detector Off  (Veh Det #9),,,
1633705241,9,2,Detector On  (Veh Det #4),,,
1633705241,10,2,Detector Off  (Veh Det #14),,,
1633705244,64,1,Detector Off  (Veh Det #4),,,
1633705245,82,9,Phase Min Complete  (Phase 1),,,
1633705247,81,10,Phase Green Term  (Phase 1),,,
1633705247,12,2,Phase Begin Yellow Cl  (Phase 1),,,
1633705247,11,2,Phase Force Off  (Phase 1),,,
1633705247,0,4,Phase Check  (Phase 1),,,
1633705247,1,4,Detector Off  (Veh Det #1),,,
1633705247,65,1,Detector On  (Veh Det #14),,,
1633705247,31,1,Phase Call Dropped  (Phase 1),,,
1633705248,48,4,Detector On  (Veh Det #4),,,
1633705248,41,2,Detector Off  (Veh Det #14),,,
1633705249,82,11,Detector On  (Veh Det #14),,,
1633705251,81,9,Phase End Yellow Cl  (Phase 1),,,
1633705251,82,12,Phase Begin Red Cl  (Phase 1),,,
1633705252,81,12,Coord Cycle State,,,
1633705252,81,11,Phase Inactive  (Phase 1),,,
1633705252,3,4,Phase End Red Cl  (Phase 1),,,
1633705252,81,14,Phase On  (Phase 2),,,
1633705252,81,13,Phase Begin Green  (Phase 2),,,
1633705252,82,13,Ped Begin Walk  (Ped 2),,,
1633705252,82,12,Bike Call Off  (Phase 2),,,
1633705252,82,14,Ped Omit On  (Ped 1),,,
1633705252,81,13,Coord Cycle State,,,
1633705252,81,12,Bike Call On  (Phase 2),,,
1633705256,81,14,Detector On  (Veh Det #15),,,
1633705257,82,14,Detector Off  (Veh Det #15),,,
1633705259,81,14,Detector Off  (Veh Det #12),,,
1633705259,81,4,Detector On  (Veh Det #11),,,
1633705260,44,4,Phase Min Complete  (Phase 2),,,
